epoch_ns	p99_us
1787124814428729046	4636671
1787124814591460873	4669439
1787124814713304525	4481023
1787124814795632609	4538367
1787124814876631054	4607999
1787124814981312409	4771839
1787124815082908732	4349951
1787124815184947020	4960255
1787124815293779745	4808703
1787124815374753295	4825087
1787124815476117157	4612095
1787124815582222022	4620287
1787124815686202829	5013503
1787124815787996683	4947967
1787124815929740375	5128191
1787124816010702661	4935679
1787124816132039272	4939775
1787124816235063296	5140479
1787124816316075676	5111807
1787124816438987070	4841471
1787124816542961262	5099519
1787124816686141478	5275647
1787124816787037929	5197823
1787124816909909655	4800511
1787124817011544915	4968447
1787124817093887217	5177343
1787124817235980880	5369855
1787124817338065526	5181439
1787124817439402145	5423103
1787124817527541372	5312511
1787124817633399384	4210687
1787124817738543486	5525503
1787124817843467848	5439487
1787124817945571791	5500927
1787124818111548521	5951487
1787124818215962871	5492735
1787124818303569360	4841471
1787124818406716172	5623807
1787124818491593091	5877759
1787124818760773690	5971967
1787124818863767061	5726207
1787124818946149274	5832703
1787124819050501189	5984255
1787124819177720335	6225919
1787124819238899837	5955583
1787124819363760207	6516735
1787124819467694959	5648383
1787124819549209951	6143999
1787124819671469204	6090751
1787124819773008240	6119423
1787124819854926615	6209535
1787124819956180729	6135807
1787124820038508269	6189055
1787124820159848231	5926911
1787124820262413793	6316031
1787124820347528292	5636095
1787124820448579941	5857279
1787124820530928248	6152191
1787124820653618727	6180863
1787124820715313414	6012927
1787124820818348584	5984255
1787124820902008691	6295551
1787124821044879506	6201343
1787124821125707809	6164479
1787124821206837568	6143999
1787124821308707090	6193151
1787124821430300813	6254591
1787124821535642257	6184959
1787124821616520778	6279167
1787124821717808491	6086655
1787124821800044371	6299647
1787124821922009418	6225919
1787124822024236491	6610943
1787124822105453108	5484543
1787124822208729997	6533119
1787124822330914657	6512639
1787124822392036931	6340607
1787124822472909979	6373375
1787124822594229623	6340607
1787124822675804486	6418431
1787124822839983372	6217727
1787124822942978169	6406143
1787124823025102418	6086655
1787124823128547549	6377471
1787124823209616968	6844415
1787124823373094632	6877183
1787124823476181462	6639615
1787124823557010519	6742015
1787124823720543370	6926335
1787124823801394554	6828031
1787124823945933331	6561791
1787124823986393341	6864895
1787124824329710084	6815743
1787124824410751283	7065599
1787124824531962922	7167999
1787124824636506264	6004735
1787124824738664814	7016447
1787124824843866511	7049215
1787124824944886619	7094271
1787124825028690383	7139327
1787124825130709956	7167999
1787124825215454358	7258111
1787124825323525604	7008255
1787124825427546766	7352319
1787124825532807134	7090175
1787124825594874563	7131135
1787124825721527290	6807551
1787124825843698837	7299071
1787124825926652928	7348223
1787124826074745903	6893567
1787124826159802583	7024639
1787124826223571894	7155711
1787124826307715120	7213055
1787124826430666908	7516159
1787124826533303512	7016447
1787124826635626880	7458815
1787124826738291433	7176191
1787124826842554388	7327743
1787124826944963711	7241727
1787124827047048251	7266303
1787124827132269453	7315455
1787124827214714341	7278591
1787124827317272337	7258111
1787124827418690771	7122943
1787124827560917931	7540735
1787124827662906600	7315455
1787124827865825260	7405567
1787124827947751764	7462911
1787124828051018925	7479295
1787124828131957848	7471103
1787124828253766550	6914047
1787124828334758440	7176191
1787124828416549700	7397375
1787124828519597727	7413759
1787124828621351329	6602751
1787124828724813565	7073791
1787124828785499165	7114751
1787124828948905750	6733823
1787124829035498961	7278591
1787124829157701725	7389183
1787124829239670840	7385087
1787124829341307150	7020543
1787124829422410432	7540735
1787124829543665142	7262207
1787124829624851576	7000063
1787124829867277530	7258111
1787124829968474219	7352319
1787124830072494530	6905855
1787124830195443798	7274495
1787124830257953158	7340031
1787124830359279844	7319551
1787124830440176788	7258111
1787124830562910484	7393279
1787124830664725396	6963199
1787124830746539263	7213055
1787124830867796692	7471103
1787124830928659791	7405567
1787124831032310645	7012351
1787124831133467552	6803455
1787124831256718556	7774207
1787124831319701932	7827455
1787124831463510400	7892991
1787124831544589370	7987199
1787124831647604326	7598079
1787124831749638468	7831551
1787124831851548806	6639615
1787124831933049095	7335935
1787124832022194633	7610367
1787124832147505625	6815743
1787124832210002919	7790591
1787124832335590881	7741439
1787124832417495446	7442431
1787124832519674137	7790591
1787124832606931925	7557119
1787124832731522609	6643711
1787124832835397094	7778303
1787124832898335240	7331839
1787124833103539831	8454143
1787124833185691501	7577599
1787124833268085056	7798783
1787124833380664009	7868415
1787124833508591789	7802879
1787124833612353341	8773631
1787124833715218308	8495103
1787124833825113565	8060927
1787124833911045242	6529023
1787124834033504512	8028159
1787124834114323740	8032255
1787124834218661151	7847935
1787124834302663629	6914047
1787124834405150619	8249343
1787124834489114256	7856127
1787124834552024438	7974911
1787124834674424742	7745535
1787124834775598175	7733247
1787124834879090814	7843839
1787124834980812390	7872511
1787124835041531358	7544831
1787124835143920790	7544831
1787124835225312026	7970815
1787124835348459741	8953855
1787124835389301516	6803455
1787124835634214141	8093695
1787124835735757675	8024063
1787124835838086845	8126463
1787124835921971212	9199615
1787124836025016574	6918143
1787124836128813543	8294399
1787124836210976607	8110079
1787124836332629449	7118847
1787124836436209752	8536063
1787124836518205521	7786495
1787124836620964084	8675327
1787124836702113343	8486911
1787124836824830020	8871935
1787124836907767916	8904703
1787124837049500460	9232383
1787124837130558354	8740863
1787124837273221156	8339455
1787124837335492705	9109503
1787124837461543276	8708095
1787124837522242630	8830975
1787124837644972171	8196095
1787124837768536971	9371647
1787124837872351451	9404415
1787124837956424789	7372799
1787124838058531698	8765439
1787124838200460383	8675327
1787124838283181511	9396223
1787124838407046332	8282111
1787124838467705298	8978431
1787124838591202682	8732671
1787124838732955595	8171519
1787124838795150355	9142271
1787124838897784426	8994815
1787124839041603421	9232383
1787124839145996001	9363455
1787124839228564929	9215999
1787124839354573137	8232959
1787124839458987237	9396223
1787124839519734498	9510911
1787124839642051366	9527295
1787124839707567406	8486911
1787124839831811596	9543679
1787124839940525999	9601023
1787124840090215673	9543679
1787124840133166641	9486335
1787124840257537019	9379839
1787124840344796799	8257535
1787124840448555606	9715711
1787124840531597762	9773055
1787124840636790868	8278015
1787124840721821839	8822783
1787124840826556318	9756671
1787124840888797456	10067967
1787124841214303451	9748479
1787124841336064871	9371647
1787124841396683239	8601599
1787124841517972190	9437183
1787124841618994462	10395647
1787124841699883208	9224191
1787124841802737549	8486911
1787124841904515095	8929279
1787124842005531478	9560063
1787124842088127535	8503295
1787124842193689881	9150463
1787124842255507190	9519103
1787124842377726163	9617407
1787124842478825499	8617983
1787124842581608756	8396799
1787124842683968473	9822207
1787124842768110575	9977855
1787124842870857686	9846783
1787124842952295880	9330687
1787124843053241610	9928703
1787124843179285713	8863743
1787124843281966450	9568255
1787124843384681302	8667135
1787124843468527872	9625599
1787124843591689374	8839167
1787124843679213694	9445375
1787124843760039038	9330687
1787124843881319003	9486335
1787124843982497297	9478143
1787124844064773267	9469951
1787124844145753739	9273343
1787124844328026112	11018239
1787124844409779803	9183231
1787124844490633218	9519103
1787124844612037587	9576447
1787124844694734874	9568255
1787124844857195669	9068543
1787124844939089565	8683519
1787124845042711032	9756671
1787124845125689142	9789439
1787124845249810057	8740863
1787124845332194617	8830975
1787124845413634502	9781247
1787124845519011443	9797631
1787124845623325336	9863167
1787124845705147148	9420799
1787124845828607553	10051583
1787124845890771372	9535487
1787124845994322329	8970239
1787124846099739603	11599871
1787124846182796436	9142271
1787124846289227648	10248191
1787124846399258625	9379839
1787124846461166973	10231807
1787124846870842046	10354687
1787124846954769164	10215423
1787124847040286090	9748479
1787124847148542637	9740287
1787124847253569648	10452991
1787124847317810323	9297919
1787124847464529575	10584063
1787124847565913419	10510335
1787124847670131970	9330687
1787124847792443563	10739711
1787124847853932530	9453567
1787124847956230696	8855551
1787124848058756844	10747903
1787124848140750460	12763135
1787124848242934531	9666559
1787124848327113806	9601023
1787124848448645046	10985471
1787124848553574319	10887167
1787124848614308363	9789439
1787124848719817074	10919935
1787124848841727585	9527295
1787124848924249272	10829823
1787124849028194139	12648447
1787124849110549811	10969087
1787124849192131275	12017663
1787124849315331717	11124735
1787124849398555430	10788863
1787124849501978222	9486335
1787124849564024991	12156927
1787124849685470633	9576447
1787124849767026662	9609215
1787124849890244229	11378687
1787124849991541513	10723327
1787124850073621668	10739711
1787124850216555087	11624447
1787124850338569698	11796479
1787124850440129986	9314303
1787124850500872397	11739135
1787124850643232353	12369919
1787124850724165484	10600447
1787124850805589441	11255807
1787124850927549658	9895935
1787124850988323043	10657791
1787124851089709947	10444799
1787124851212086088	10346495
1787124851294414835	9756671
1787124851417618315	12926975
1787124851498644608	9265151
1787124851581013460	9961471
1787124851683165772	11419647
1787124851784536747	10002431
1787124851868453585	11436031
1787124851950552368	9256959
1787124852032949784	11354111
